name,teams,position,start_year,stop_year,total_game,games_started
Steve Alexakos,DEN|NYG,g,1970,1971,18,1
Alvester Alexander,2TM,,2012,2012,0,0
Brent Alexander,ARI|CAR|PIT|NYG,FS/ss,1994,2005,192,178
Bruce Alexander,DET|MIA,db,1989,1993,44,2
Charles Alexander,CIN,fb,1979,1985,102,73
D.J. Alexander,KAN|SEA|PHI,lilb,2015,2018,48,1
Dan Alexander,NYJ,RG,1977,1989,192,183
Dan Alexander,TEN|JAX|STL,,2001,2003,11,0
Danario Alexander,STL|SDG,wr,2010,2012,28,13
David Alexander,PHI|NYJ,c,1987,1996,131,115
Derrick Alexander,CLE|BAL|KAN|MIN,wr,1994,2002,126,102
Derrick Alexander,MIN|CLE,DE/rdt,1995,1999,73,67
Doc Alexander,RCH|NYG,LG,1921,1927,40,35
Dominique Alexander,CLE,,2016,2017,18,0
Elijah Alexander,TAM|DEN|IND|OAK,RLB,1992,2001,123,76
Eric Alexander,NWE|2TM,,2004,2010,54,0
Frank Alexander,CAR,de,2012,2014,29,6
Gerald Alexander,DET|JAX|2TM,SS,2007,2011,44,30
Glenn Alexander,BUF,KR,1970,1970,13,0
Harold Alexander,ATL,P,1993,1994,31,0
Jaire Alexander,GNB,CB,2018,2018,4,2
Jeff Alexander,DEN,FB,1989,1992,21,6
John Alexander,MIL|NYG,RT,1922,1926,17,15
John Alexander,MIA,,1977,1978,12,0
Kermit Alexander,SFO|RAM|PHI,SS,1963,1973,143,118
Kevin Alexander,NYG,WR,1996,1997,18,8
Kevin Alexander,DEN,,2010,2010,8,0
Kwon Alexander,TAM,lb/MLB,2015,2018,44,44
Lorenzo Alexander,WAS|ARI|OAK|BUF,lb,2007,2018,163,44
Mackensie Alexander,MIN,CB,2016,2018,30,2
Maurice Alexander,STL|LAR,ss,2014,2017,41,23
Mike Alexander,RAI|BUF,wr,1989,1991,19,1
Mister Alexander,HOU|2TM,,2011,2014,14,0
P.J. Alexander,DEN|ATL,lg,2004,2007,20,4
Patrise Alexander,WAS,lb,1996,1998,33,1
Ray Alexander,DEN|DAL,WR,1984,1989,26,11
